city,country,lat,lon
SBJR,Brazil,-22.989,-43.375
SBES,Brazil,-22.813,-42.092
SBME,Brazil,-22.342,-41.767
SBCP,Brazil,-21.697,-41.303
SBFS,Brazil,-22.030,-41.064
SBRJ,Brazil,-22.912,-43.163
SBCB,Brazil,-22.923,-42.074
SBVT,Brazil,-20.258,-40.285
SBPS,Brazil,-16.439,-39.080
SBGL,Brazil,-22.812,-43.252
SBNT,Brazil,-5.912,-35.249
SBMS,Brazil,-5.202,-37.363
SBAC,Brazil,-4.570,-37.804
SBJE,Brazil,-2.905,-40.350
SBPB,Brazil,-2.895,-41.727
SBAR,Brazil,-10.986,-37.068
SBMO,Brazil,-9.514,-35.791
SBRF,Brazil,-8.124,-34.920
SBJP,Brazil,-7.147,-34.950
SBSG,Brazil,-5.772,-35.370
SBFZ,Brazil,-3.779,-38.532
SBSL,Brazil,-2.585,-44.235
SBTE,Brazil,-5.058,-42.825
SBJU,Brazil,-7.218,-39.271
SBFN,Brazil,-3.859,-32.423
SBPL,Brazil,-9.362,-40.567
SBPJ,Brazil,-10.299,-48.365
SBRD,Brazil,-16.445,-54.664
SBVH,Brazil,-12.697,-60.101
SBJI,Brazil,-10.874,-61.849
SBRB,Brazil,-9.870,-67.894
SWEI,Brazil,-6.640,-69.880
SSKW,Brazil,-11.498,-61.449
SBCY,Brazil,-15.656,-56.117
SBPV,Brazil,-8.710,-63.901
SBCZ,Brazil,-7.597,-72.768
SBTT,Brazil,-4.256,-69.936
SBIZ,Brazil,-5.533,-47.459
SBCI,Brazil,-7.320,-47.458
SBMA,Brazil,-5.370,-49.136
SBCJ,Brazil,-6.117,-50.003
SBHT,Brazil,-3.253,-52.254
SBTB,Brazil,-1.494,-56.400
SBOI,Brazil,3.853,-51.798
SBBE,Brazil,-1.381,-48.473
SBMQ,Brazil,0.052,-51.073
SBSN,Brazil,-2.423,-54.793
SBSO,Brazil,-12.482,-55.669
SBSI,Brazil,-11.892,-55.583
SBAT,Brazil,-9.866,-56.104
SBIH,Brazil,-4.244,-56.001
SWPI,Brazil,-2.674,-56.776
SBMY,Brazil,-5.813,-61.271
SBTF,Brazil,-3.386,-64.723
SBUA,Brazil,-0.148,-66.986
SBEG,Brazil,-3.036,-60.057
SBBV,Brazil,2.842,-60.693
SBKG,Brazil,-7.266,-35.902
