estacao;lat;lng
SBUY;-4.884;-65.354
SNRU;-8.282;-36.014
SBJR;-22.989;-43.375
SBES;-22.813;-42.092
SBME;-22.342;-41.767
SBCP;-21.697;-41.303
SBFS;-22.030;-41.064
SBRJ;-22.912;-43.163
SBCB;-22.923;-42.074
SBVT;-20.258;-40.285
SBPS;-16.439;-39.080
SBGL;-22.812;-43.252
SBNT;-5.912;-35.249
SBMS;-5.202;-37.363
SBAC;-4.570;-37.804
SBJE;-2.905;-40.350
SBPB;-2.895;-41.727
SBAR;-10.986;-37.068
SBMO;-9.514;-35.791
SBRF;-8.124;-34.920
SBJP;-7.147;-34.950
SBSG;-5.772;-35.370
SBFZ;-3.779;-38.532
SBSL;-2.585;-44.235
SBTE;-5.058;-42.825
SBJU;-7.218;-39.271
SBKG;-7.264;-35.895
SBFN;-3.859;-32.423
SBPL;-9.362;-40.567
SBPJ;-10.299;-48.365
SWGN;-7.228;-48.241
SBUY;-4.884;-65.354
SBRD;-16.445;-54.664
SBVH;-12.697;-60.101
SBJI;-10.874;-61.849
SBRB;-9.870;-67.894
SWEI;-6.640;-69.880
SSKW;-11.498;-61.449
SBCY;-15.656;-56.117
SBPV;-8.710;-63.901
SBCZ;-7.597;-72.768
SBTT;-4.256;-69.936
SBIZ;-5.533;-47.459
SBMA;-5.370;-49.136
SBCJ;-6.117;-50.003
SBHT;-3.253;-52.254
SBTB;-1.494;-56.400
SBOI;3.853;-51.798
SBBE;-1.381;-48.473
SBMQ;0.052;-51.073
SBSN;-2.423;-54.793
SBSO;-12.482;-55.669
SBSI;-11.892;-55.583
SBAT;-9.866;-56.104
SBIH;-4.244;-56.001
SWPI;-2.674;-56.776
SBMY;-5.813;-61.271
SBTF;-3.386;-64.723
SBUA;-0.148;-66.986
SBEG;-3.036;-60.057
SBBV;2.842;-60.693
