Estação,Data confecção,Hora confecção,Validade,dircp,velcp,viscp,tpcp,qn1,aln1,qn2,aln2,qn3,aln3,txcp,tncp,qn4,aln4,txhr,tnhr
SBGL,2024-11-28,13:21:00,2818/2924,360,10.0,CAVOK,BR,BKN,7, , , , ,37.0,22,,,,
SBRJ,2024-11-28,13:23:00,2800/2812,360,10.0,4900,BR,BKN,6,BKN,015, , ,37.0,22,,,,
SBVT,2024-11-28,13:28:00,2818/2918,360,10.0,CAVOK, , , , , , , ,30.0,20,,,,
SBCB,2024-11-28,18:00:00,2800/2812,360,10.0,9999, ,FEW,015, , , , ,30.0,20,,,,
SBGL,2024-11-28,19:51:00,2818/2924,250,4.0,7000, ,NSC, , , , , ,40.0,29,,,,
SBRJ,2024-11-29,12:48:00,2800/2812,20,10.0,CAVOK, , , , , , , ,37.0,9, , ,,
sbar,2024-11-29,12:52:00,2918/3018,360,5.0,CAVOK, , , , , , , ,29.0,18Z, , ,22.0,08Z
sbar,2024-11-29,12:52:00,2918/3018,360,5.0,CAVOK, , , , , , , ,29.0,18Z, , ,22.0,08Z
sbar,2024-11-29,12:52:00,2918/3018,360,5.0,CAVOK, , , , , , , ,29.0,18Z, , ,22.0,08Z
SBRJ,2024-11-29,18:17:00,2800/2812,40,10.0,9999, ,FEW,020, , , , ,30.0,20, , ,12.0,08
SBME,2024-11-30,15:32:00,0100/0112,20,5.0,CAVOK, , , , , , , ,30.0,21, , ,12Z,08Z
SBJR,2024-12-02,14:49:00,0100/0112,230,5.0,CAVOK, , , , , , , ,30.0,20, , ,12Z,08Z
SBCP,2024-12-11,08:46:00,1118/1206,80,5.0,8000, ,BKN,017, , , , ,30.0,25, , ,18Z,06Z
SBJR,2024-12-12,16:59:00,1300/1324,10,12.0,CAVOK, , , , , , , ,30.0,24, , ,12Z,08Z
SBRJ,2024-12-12,19:54:00,1300/1324, ,, , , , , , , , ,,, , ,,
SBVT,2024-12-13,18:08:00,1400/1424,360,12.0,9999, ,SCT,020, , , , ,27.0,24, , ,12Z,08Z
SBPL,2024-12-13,18:58:00,1406/1506,160,10,CAVOK, , , , , , , ,35,25, , ,17Z,08Z
